Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,10u,C440198
C10,0402,1,1n,C1523
"C11, C12, C14, C18, C19, C21, C22, C31",0805,8,22u,C45783
"C13, C2, C3, C4, C7, C9",0402,6,1u,C52923
"C15, C20, C23, C24, C25, C28, C29, C30, C32, C33, C34, C35, C6",0402,13,0u1,C307331
C16,CP_Elec_6.3x7.7,1,220u,C2918361
C17,0402,1,47p,C1567
"C26, C27",0402,2,12p,C1547
D1,0603,1,RED,C2286
"D2, D3",0805,2,GREEN,C2297
L1,L_Bourns_SRP1050WA,1,5u6,C149541
"R1, R10, R8",0402,3,10k,C25744
R11,0402,1,73k2,C26986
R12,0402,1,470,C25117
R13,1206,1,120,C17909
"R2, R9",0402,2,2k,C4109
"R3, R5, R7",0402,3,5k1,C25905
R4,0402,1,52k3,C26982
R6,0402,1,620,C4961
U1,SOT-23-3,1,XC6206P332MR,C5446
"U10, U11, U12, U13",SOT-23-5,4,SN74LV1T125DBV,C473338
U2,Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,1,LM73100,C3210761
U3,Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,1,TPS259472A,C3662789
U4,SOT-23-3,1,XC6206P182MR,C347373
U5,Texas_RPA0010A_VQFN-HR-10_3x3mm_P0.5mm,1,TPS56637,C841386
U6,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,C726001
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,CAT24C256,C79987
U8,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,1,MCP2518FD,C621395
U9,TSOT-23-8,1,TCAN3413,C30111221
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
